snr(xlabel),OfdmRate6Mbps,OfdmRate9Mbps,OfdmRate12Mbps,OfdmRate18Mbps,OfdmRate24Mbps,OfdmRate36Mbps,OfdmRate48Mbps,OfdmRate54Mbps
-5,0,0,0,0,0,0,0,0
-4.9,0,0,0,0,0,0,0,0
-4.8,9.83E-302,0,0,0,0,0,0,0
-4.7,1.68E-276,0,0,0,0,0,0,0
-4.6,5.58E-253,0,0,0,0,0,0,0
-4.5,4.35E-231,0,0,0,0,0,0,0
-4.4,9.66E-211,0,0,0,0,0,0,0
-4.3,7.34E-192,0,0,0,0,0,0,0
-4.2,2.28E-174,0,0,0,0,0,0,0
-4.1,3.45E-158,0,0,0,0,0,0,0
-4,3.00E-143,0,0,0,0,0,0,0
-3.9,1.77E-129,0,0,0,0,0,0,0
-3.8,8.27E-117,0,0,0,0,0,0,0
-3.7,3.57E-105,0,0,0,0,0,0,0
-3.6,1.65E-94,0,0,0,0,0,0,0
-3.5,9.37E-85,0,0,0,0,0,0,0
-3.4,7.52E-76,0,0,0,0,0,0,0
-3.3,9.72E-68,0,0,0,0,0,0,0
-3.2,2.29E-60,0,0,0,0,0,0,0
-3.1,1.11E-53,0,0,0,0,0,0,0
-3,1.25E-47,0,0,0,0,0,0,0
-2.9,3.61E-42,1.4822e-323,0,0,0,0,0,0
-2.8,2.98E-37,6.23E-299,0,0,0,0,0,0
-2.7,7.79E-33,7.70E-276,0,0,0,0,0,0
-2.6,7.06E-29,3.65E-254,0,0,0,0,0,0
-2.5,2.43E-25,7.61E-234,0,0,0,0,0,0
-2.4,3.45E-22,8.00E-215,0,0,0,0,0,0
-2.3,2.18E-19,4.84E-197,9.81382e-314,0,0,0,0,0
-2.2,6.62E-17,1.92E-180,1.12E-291,0,0,0,0,0
-2.1,1.03E-14,5.65E-165,8.68E-271,0,0,0,0,0
-2,8.86E-13,1.41E-150,5.00E-251,0,0,0,0,0
-1.9,4.42E-11,3.32E-137,2.32E-232,0,0,0,0,0
-1.8,1.36E-09,8.44E-125,9.40E-215,0,0,0,0,0
-1.7,2.69E-08,2.58E-113,3.62E-198,0,0,0,0,0
-1.6,3.63E-07,1.07E-102,1.44E-182,0,0,0,0,0
-1.5,3.46E-06,6.63E-93,6.39E-168,0,0,0,0,0
-1.4,2.43E-05,6.93E-84,3.46E-154,0,0,0,0,0
-1.3,0.000130095,1.35E-75,2.48E-141,0,0,0,0,0
-1.2,0.0005494,5.42E-68,2.56E-129,0,0,0,0,0
-1.1,0.00188306,4.95E-61,4.10E-118,0,0,0,0,0
-1,0.00537807,1.13E-54,1.12E-107,0,0,0,0,0
-0.9,0.0131049,7.07E-49,5.56E-98,0,0,0,0,0
-0.8,0.0278257,1.32E-43,5.52E-89,0,0,0,0,0
-0.7,0.0524583,8.05E-39,1.18E-80,0,0,0,0,0
-0.6,0.0892805,1.73E-34,5.85E-73,0,0,0,0,0
-0.5,0.1392,1.41E-30,7.30E-66,0,0,0,0,0
-0.4,0.201398,4.74E-27,2.47E-59,0,0,0,0,0
-0.3,0.27346,6.99E-24,2.44E-53,0,0,0,0,0
-0.2,0.351894,4.85E-21,7.58E-48,0,0,0,0,0
-0.1,0.432808,1.68E-18,7.92E-43,0,0,0,0,0
-1.03E-15,0.512538,3.10E-16,2.99E-38,0,0,0,0,0
0.1,0.588076,3.21E-14,4.34E-34,0,0,0,0,0
0.2,0.657279,1.96E-12,2.60E-30,0,0,0,0,0
0.3,0.71888,7.46E-11,6.80E-27,0,0,0,0,0
0.4,0.772376,1.84E-09,8.28E-24,0,0,0,0,0
0.5,0.817856,3.09E-08,4.96E-21,0,0,0,0,0
0.6,0.855816,3.66E-07,1.54E-18,0,0,0,0,0
0.7,0.886994,3.17E-06,2.63E-16,0,0,0,0,0
0.8,0.912244,2.08E-05,2.59E-14,0,0,0,0,0
0.9,0.932438,0.000106196,1.54E-12,0,0,0,0,0
1,0.948409,0.00043552,5.75E-11,0,0,0,0,0
1.1,0.96091,0.00147007,1.42E-09,0,0,0,0,0
1.2,0.970605,0.00417988,2.39E-08,0,0,0,0,0
1.3,0.978057,0.0102233,2.87E-07,0,0,0,0,0
1.4,0.983737,0.0219191,2.53E-06,0,0,0,0,0
1.5,0.988033,0.0419004,1.69E-05,0,0,0,0,0
1.6,0.991256,0.0725031,8.81E-05,0,0,0,0,0
1.7,0.993657,0.115106,0.000369114,0,4.56796e-316,0,0,0
1.8,0.995431,0.169681,0.00127201,3.25376e-313,2.06E-304,0,0,0
1.9,0.996733,0.234721,0.00368873,4.20E-281,5.74E-293,0,0,0
2,0.997681,0.307527,0.00918896,8.78E-252,9.80E-282,0,0,0
2.1,0.998366,0.384731,0.0200336,4.66E-225,1.01E-270,0,0,0
2.2,0.998857,0.46286,0.0388745,9.60E-201,6.32E-260,0,0,0
2.3,0.999207,0.538801,0.0681635,1.14E-178,2.35E-249,0,0,0
2.4,0.999454,0.610094,0.10947,1.15E-158,5.17E-239,0,0,0
2.5,0.999627,0.675048,0.162977,1.40E-140,6.68E-229,0,0,0
2.6,0.999747,0.732715,0.227343,2.90E-124,5.03E-219,0,0,0
2.7,0.99983,0.78278,0.299953,1.41E-109,2.20E-209,0,0,0
2.8,0.999887,0.825408,0.377429,2.16E-96,5.54E-200,0,0,0
2.9,0.999925,0.861092,0.456215,1.40E-84,8.00E-191,0,0,0
3,0.999951,0.890521,0.533073,4.97E-74,6.60E-182,0,0,0
3.1,0.999968,0.914473,0.60541,1.26E-64,3.10E-173,0,0,0
3.2,0.99998,0.933737,0.671421,2.84E-56,8.25E-165,0,0,0
3.3,0.999987,0.949066,0.730072,7.20E-49,1.24E-156,0,0,0
3.4,0.999992,0.961145,0.780992,2.51E-42,1.06E-148,0,0,0
3.5,0.999995,0.970576,0.824323,1.45E-36,5.08E-141,0,0,0
3.6,0.999997,0.977878,0.860554,1.68E-31,1.37E-133,0,0,0
3.7,0.999998,0.983485,0.890385,4.53E-27,2.10E-126,0,0,0
3.8,0.999999,0.987757,0.914614,3.35E-23,1.82E-119,0,0,0
3.9,0.999999,0.990987,0.934055,7.75E-20,8.88E-113,0,0,0
4,1,0.993412,0.949482,6.40E-17,2.47E-106,0,0,0
4.1,1,0.995218,0.961601,2.12E-14,3.91E-100,0,0,0
4.2,1,0.996554,0.971032,3.13E-12,3.54E-94,0,0,0
4.3,1,0.997535,0.978307,2.28E-10,1.85E-88,0,0,0
4.4,1,0.998249,0.983873,8.86E-09,5.58E-83,0,0,0
4.5,1,0.998766,0.988097,2.00E-07,9.81E-78,0,0,0
4.6,1,0.999137,0.991277,2.82E-06,1.01E-72,0,0,0
4.7,1,0.999401,0.993654,2.63E-05,6.18E-68,0,0,0
4.8,1,0.999587,0.995416,0.000172148,2.25E-63,0,0,0
4.9,1,0.999718,0.996713,0.000830886,4.95E-59,0,0,0
5,1,0.999809,0.997661,0.00308923,6.61E-55,0,0,0
5.1,1,0.999872,0.998347,0.00919506,5.43E-51,0,0,0
5.2,1,0.999915,0.998841,0.0226608,2.78E-47,0,0,0
5.3,1,0.999944,0.999194,0.0476139,8.94E-44,0,0,0
5.4,1,0.999963,0.999444,0.0874885,1.83E-40,0,0,0
5.5,1,0.999976,0.999619,0.143688,2.43E-37,0,0,0
5.6,1,0.999985,0.999741,0.214928,2.10E-34,0,0,0
5.7,1,0.99999,0.999826,0.297517,1.21E-31,0,0,0
5.8,1,0.999994,0.999884,0.386351,4.67E-29,0,0,0
5.9,1,0.999996,0.999923,0.476086,1.23E-26,0,0,0
6,1,0.999998,0.99995,0.562094,2.24E-24,0,0,0
